id,idMemberApplication,username,password,email,passwordQuestion,passwordAnswer,dateLastActivity,dateLastLogin,dateLastPasswordChanged,isApproved,isOnLine,isLockedOut,lastLockedOutDate,failedPasswordAttemptCount,failedPasswordAttemptWindowStart,failedPasswordAnswerAttemptCount,failedPasswordAnswerAttemptWindowStart,comment,dateCreated,dateUpdated,DateRegistration,NameFirst,DateQuit,DateOfBirth,Gender,NameLast,DateTreatmentStart,FollowUpAppointmentDate,TermsAndConditions,Barcode,PhoneMobile,SmsTime,ImportedFromGuildcare,State,HideWelcomePopup,OptOutSMS,Postcode,OptOutEmail,Nickname,YearsSmoking,CigarettesEachDay,TimesQuitSmoking,TriedChampix,PrimaryTriggers,Fears,ReasonForQuitting,ImportSource,ImportProgram
12345,1,username1,password1,test@test1.com,,,00:44.4,00:44.4,00:44.0,1,0,0,00:44.0,0,00:44.0,0,00:44.0,NULL,00:44.0,00:44.0,3/1/2013 0:00,chirag,6/1/2013 0:00,29/04/1972 12:00:00 AM,Male,stave,26/12/2012 12:00:00 AM,12/1/2013 0:00,FALSE,2549,61410600831,Afternoon,FALSE,VIC,FALSE,FALSE,3810,FALSE,Ripardo,More than 15,25 - 30,Once,Never before,Stress|Boredom|Socialising|Alcohol|With Smokers|Anxious / nervous,Failing this quit attempt|Weight gain|Nicotine withdrawal symptoms|Dealing with stress/mood changes/irritability|Being able to break the habit/routine,,,Direct
12346,1,username2,password2,test@test2.com,,,31:10.7,31:10.7,00:07.7,1,0,0,00:07.7,0,00:07.7,0,00:07.7,NULL,00:07.7,00:07.7,18/02/2013 12:00:00 AM,dhavali,21/02/2013 12:00:00 AM,17/10/1984 12:00:00 AM,Female,david,20/02/2013 12:00:00 AM,13/03/2103 12:00:00 AM,FALSE,2549,61430890445,Morning,FALSE,WA,FALSE,FALSE,6173,FALSE,Rachel,6 - 10 years,14-Oct,6 - 10 times,Never before,Stress|Socialising|Alcohol|Coffee / Tea|With Smokers|Anxious / nervous,Dealing with stress/mood changes/irritability|Being able to break the habit/routine,,,Direct
12347,1,username3,password3,test@test3.com,,,15:32.8,15:32.8,15:32.5,1,0,0,15:32.5,0,15:32.5,0,15:32.5,NULL,15:32.5,15:32.5,12/3/2013 0:00,mayur,23/03/2013 12:00:00 AM,4/8/1964 0:00,Male,shone,19/02/2013 12:00:00 AM,20/03/2013 12:00:00 AM,FALSE,2525,61415637527,Afternoon,FALSE,NSW,FALSE,FALSE,2303,FALSE,,More than 15,More than 30,Twice,Twice,Stress|Boredom|Socialising|Alcohol|Driving|Completed a task|Waking up|Coffee / Tea|With Smokers|Offered a cigarette|Concentrating|Relaxed|Anxious / nervous|Enforced no-smoking,Failing this quit attempt|Weight gain|Nicotine withdrawal symptoms|Dealing with stress/mood changes/irritability|Being able to break the habit/routine,,,Direct
12348,1,username4,password4,test@test4.com,,,45:42.6,45:42.6,57:42.7,1,0,0,57:42.7,0,57:42.7,0,57:42.7,NULL,57:42.7,57:42.7,18/04/2013 12:00:00 AM,tapsi,1/5/2013 0:00,16/04/1968 12:00:00 AM,Female,stave,18/04/2013 12:00:00 AM,9/5/2013 0:00,FALSE,2525,61478110159,Afternoon,FALSE,QLD,FALSE,FALSE,4500,FALSE,,More than 15,20 - 24,Twice,Never before,Stress|Boredom|Socialising|Alcohol|Completed a task|Waking up|With Smokers|Relaxed|Anxious / nervous,Weight gain|Nicotine withdrawal symptoms|Dealing with stress/mood changes/irritability,,,Direct
12349,1,username5,password5,test@test5.com,,,30:56.8,30:56.8,02:26.9,1,0,0,02:26.9,0,02:26.9,0,02:26.9,NULL,02:26.9,02:26.9,26/06/2013 12:00:00 AM,dhamo,27/06/2013 12:00:00 AM,25/01/1990 12:00:00 AM,Female,david,26/06/2013 12:00:00 AM,9/7/2013 0:00,FALSE,2549,,Morning,FALSE,NSW,FALSE,FALSE,2198,FALSE,Raff,6 - 10 years,15 - 19,5 times,Never before,Stress|Boredom|Socialising|Alcohol|Completed a task|With Smokers|Offered a cigarette|Relaxed|Anxious / nervous|Enforced no-smoking,Failing this quit attempt|Weight gain|Dealing with stress/mood changes/irritability|Being able to break the habit/routine,,,Direct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
